Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster
Pineapple,1 large slice,122,95.0,0,0,0.0,0.4,26.0,Fruits G-P,4
Pineapple Crushed,1 cup,260,205.0,1,0,0.0,0.7,55.0,Fruits G-P,3
Raw diced,1 cup,140,75.0,1,0,0.0,0.6,19.0,Fruits G-P,-1
Pineapple juice,1 cup,250,120.0,1,0,0.0,0.2,32.0,Fruits G-P,3
Plums,1 cup,256,185.0,1,0,0.0,0.7,50.0,Fruits G-P,3
"Raw 2"" diameter",1,60,30.0,0,0,0.0,0.2,7.0,Fruits G-P,3
Prunes,1 cup,270,300.0,3,1,0.0,0.8,81.0,Fruits G-P,3
Prune juice,1 cup,240,170.0,1,0,0.0,0.7,45.0,Fruits G-P,-1
Raisins,1/2 cup,88,230.0,2,0,0.0,0.7,82.0,Fruits R-Z,-1
Raspberries,1/2 cup,100,100.0,0,0,0.0,2.0,25.0,Fruits R-Z,-1
Raw red,3/4 cup,100,57.0,0,0,0.0,5.0,14.0,Fruits R-Z,-1
Rhubarb sweetened,1 cup,270,385.0,1,0,0.0,1.9,98.0,Fruits R-Z,3
Strawberries,1 cup,227,242.0,1,0,0.0,1.3,60.0,Fruits R-Z,-1
Raw,1 cup,149,54.0,0,0,0.0,1.9,12.0,Fruits R-Z,-1
Tangerines,I med.,114,40.0,1,0,0.0,1.0,10.0,Fruits R-Z,3
Watermelon,1 wedge,925,120.0,2,1,0.0,3.6,29.0,Fruits R-Z,3
Biscuits,1,38,130.0,3,4,3.0,0.0,18.0,Breads cereals fastfoodgrains,3
Bran flakes,1 cup,25,117.0,3,0,0.0,0.1,32.0,Breads cereals fastfoodgrains,3
Bread cracked wheat,1 slice,23,60.0,2,1,1.0,0.1,12.0,Breads cereals fastfoodgrains,-1
Rye,1 slice,23,55.0,2,1,1.0,0.1,12.0,Breads cereals fastfoodgrains,3
White 20 slices or,1-lb. loaf,454,1225.0,39,15,12.0,9.0,229.0,Breads cereals fastfoodgrains,3
Whole-wheat,1-lb. loaf,454,1100.0,48,14,10.0,67.5,216.0,Breads cereals fastfoodgrains,-1
Whole-wheat,1 slice,23,55.0,2,1,0.0,0.31,11.0,Breads cereals fastfoodgrains,3
Corn bread ground meal,1 serving,50,100.0,3,4,2.0,0.3,15.0,Breads cereals fastfoodgrains,3
Cornflakes,1 cup,25,110.0,2,0,0.0,0.1,25.0,Breads cereals fastfoodgrains,-1
Corn grits cooked,1 cup,242,120.0,8,0,0.0,0.2,27.0,Breads cereals fastfoodgrains,3
Corn meal,1 cup,118,360.0,9,4,2.0,1.6,74.0,Breads cereals fastfoodgrains,3
Crackers,2 med.,14,55.0,1,1,0.0,0.0,10.0,Breads cereals fastfoodgrains,3
Soda 2 1/2 square,2,11,45.0,1,1,0.0,0.0,8.0,Breads cereals fastfoodgrains,3
Farina,1 cup,238,105.0,3,0,0.0,8.0,22.0,Breads cereals fastfoodgrains,3
Flour,1 cup,110,460.0,39,22,0.0,2.9,33.0,Breads cereals fastfoodgrains,3
Wheat (all purpose),1 cup,110,400.0,12,1,0.0,0.3,84.0,Breads cereals fastfoodgrains,3
Wheat (whole),1 cup,120,390.0,13,2,0.0,2.8,79.0,Breads cereals fastfoodgrains,3
Macaroni,1 cup,140,155.0,5,1,0.0,0.1,32.0,Breads cereals fastfoodgrains,-1
Baked with cheese,1 cup,220,475.0,18,25,24.0,0.0,44.0,Breads cereals fastfoodgrains,-1
Muffins,1,48,135.0,4,5,4.0,0.0,19.0,Breads cereals fastfoodgrains,4
Noodles,1 cup,160,200.0,7,2,2.0,0.1,37.0,Breads cereals fastfoodgrains,-1
Oatmeal,1 cup,236,150.0,5,3,2.0,4.6,26.0,Breads cereals fastfoodgrains,-1
"Pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Breads cereals fastfoodgrains,3
"Wheat pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Breads cereals fastfoodgrains,3
"Pizza 14"" diam.",1 section,75,180.0,8,6,5.0,0.0,23.0,Breads cereals fastfoodgrains,3
Popcorn salted,2 cups,28,152.0,3,7,2.0,0.5,20.0,Breads cereals fastfoodgrains,-1
Puffed rice,1 cup,14,55.0,0,0,0.0,0.0,12.0,Breads cereals fastfoodgrains,-1
Puffed wheat presweetened,1 cup,28,105.0,1,0,0.0,0.6,26.0,Breads cereals fastfoodgrains,-1
Rice,1 cup,208,748.0,15,3,0.0,1.2,154.0,Breads cereals fastfoodgrains,-1
Converted,1 cup,187,677.0,14,0,0.0,0.4,142.0,Breads cereals fastfoodgrains,-1
White,1 cup,191,692.0,14,0,0.0,0.3,150.0,Breads cereals fastfoodgrains,-1
Rice flakes,1 cup,30,115.0,2,0,0.0,0.1,26.0,Breads cereals fastfoodgrains,3
Rice polish,1/2 cup,50,132.0,6,6,0.0,1.2,28.0,Breads cereals fastfoodgrains,-1
Rolls,1 large,50,411.0,3,12,11.0,0.1,23.0,Breads cereals fastfoodgrains,-1
of refined flour,1,38,115.0,3,2,2.0,0.0,20.0,Breads cereals fastfoodgrains,3
whole-wheat,1,40,102.0,4,1,0.0,0.1,20.0,Breads cereals fastfoodgrains,3
Spaghetti with meat sauce,1 cup,250,285.0,13,10,6.0,0.5,35.0,Breads cereals fastfoodgrains,3
with tomatoes and cheese,1 cup,250,210.0,6,5,3.0,0.5,36.0,Breads cereals fastfoodgrains,3
Spanish rice,1 cup,250,217.0,4,4,0.0,1.2,40.0,Breads cereals fastfoodgrains,3
Shredded wheat biscuit,1,28,100.0,3,1,0.0,0.7,23.0,Breads cereals fastfoodgrains,3
Waffles,1,75,240.0,8,9,1.0,0.1,30.0,Breads cereals fastfoodgrains,3
Wheat germ,1 cup,68,245.0,17,7,3.0,2.5,34.0,Breads cereals fastfoodgrains,3
