Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster
Margarine 2 pat or,1 T.,14,100.0,0,11,9.0,0.0,0.0,Fats Oils Shortenings,0
Mayonnaise,1 T.,15,110.0,0,12,5.0,0.0,0.0,Fats Oils Shortenings,0
Corn oil,1 T.,14,125.0,0,14,5.0,0.0,0.0,Fats Oils Shortenings,0
Olive oil,1T.,14,125.0,0,14,3.0,0.0,0.0,Fats Oils Shortenings,0
Safflower seed oil,1 T.,14,125.0,0,14,3.0,0.0,0.0,Fats Oils Shortenings,0
French dressing,1 T.,15,60.0,0,6,2.0,0.0,2.0,Fats Oils Shortenings,0
Thousand Island sauce,1 T.,15,75.0,0,8,3.0,0.0,1.0,Fats Oils Shortenings,0
Bacon,2 slices,16,95.0,4,8,7.0,0.0,1.0,Meat Poultry,0
Beef,3 oz.,85,245.0,23,16,15.0,0.0,0.0,Meat Poultry,2
Hamburger,3 oz.,85,245.0,21,17,15.0,0.0,0.0,Meat Poultry,2
Ground lean,3 oz.,85,185.0,24,10,9.0,0.0,0.0,Meat Poultry,2
Roast beef,3 oz.,85,390.0,16,36,35.0,0.0,0.0,Meat Poultry,1
Steak,3 oz.,85,330.0,20,27,25.0,0.0,0.0,Meat Poultry,1
Steak lean as round,3 oz.,85,220.0,24,12,11.0,0.0,0.0,Meat Poultry,2
Corned beef,3 oz.,85,185.0,22,10,9.0,0.0,0.0,Meat Poultry,2
Corned beef hash canned,3 oz.,85,120.0,12,8,7.0,0.0,6.0,Meat Poultry,2
Corned beef hash Dried,2 oz.,56,115.0,19,4,4.0,0.0,0.0,Meat Poultry,2
Pot-pie,1 pie,227,480.0,18,28,25.0,0.0,32.0,Meat Poultry,1
Corned beef hash Stew,1 cup,235,185.0,15,10,9.0,0.0,15.0,Meat Poultry,2
chicken,3 oz.,85,185.0,23,9,7.0,0.0,0.0,Meat Poultry,2
Fried breast or leg and thigh chicken,3 oz.,85,245.0,25,15,11.0,0.0,0.0,Meat Poultry,2
Roasted chicken,3 1/2 oz.,100,290.0,25,20,16.0,0.0,0.0,Meat Poultry,1
Chicken livers fried,3 med.,100,140.0,22,14,12.0,0.0,2.3,Meat Poultry,2
Duck domestic,3 1/2 oz.,100,370.0,16,28,0.0,0.0,0.0,Meat Poultry,1
Lamb chop broiled,4 oz.,115,480.0,24,35,33.0,0.0,0.0,Meat Poultry,1
Leg roasted,3 oz.,86,314.0,20,14,14.0,0.0,0.0,Meat Poultry,2
Shoulder braised,3 oz.,85,285.0,18,23,21.0,0.0,0.0,Meat Poultry,1
Pork chop 1 thick,3 1/2 oz.,100,260.0,16,21,18.0,0.0,0.0,Meat Poultry,2
Ham pan-broiled,3 oz.,85,290.0,16,22,19.0,0.0,0.0,Meat Poultry,1
Ham as ,2 oz.,57,170.0,13,13,11.0,0.0,0.0,Meat Poultry,2
Ham canned spiced,2 oz.,57,165.0,8,14,12.0,0.0,1.0,Meat Poultry,2
Pork roast,3 oz.,85,310.0,21,24,21.0,0.0,0.0,Meat Poultry,1
Pork sausage,3 1/2 oz.,100,475.0,18,44,40.0,0.0,0.0,Meat Poultry,1
Turkey,3 1/2 oz.,100,265.0,27,15,0.0,0.0,0.0,Meat Poultry,2
Veal,3 oz.,85,185.0,23,9,8.0,0.0,0.0,Meat Poultry,2
Roast,3 oz.,85,305.0,13,14,13.0,0.0,0.0,Meat Poultry,2
Clams,3 oz.,85,87.0,12,1,0.0,0.0,2.0,Fish Seafood,0
Cod,3 1/2 oz.,100,170.0,28,5,0.0,0.0,0.0,Fish Seafood,2
Crab meat,3 oz.,85,90.0,14,2,0.0,0.0,1.0,Fish Seafood,0
Fish sticks fried,5,112,200.0,19,10,5.0,0.0,8.0,Fish Seafood,2
Flounder,3 1/2 oz.,100,200.0,30,8,0.0,0.0,0.0,Fish Seafood,2
Haddock,3 oz.,85,135.0,16,5,4.0,0.0,6.0,Fish Seafood,2
Halibut,3 1/2 oz.,100,182.0,26,8,0.0,0.0,0.0,Fish Seafood,2
Herring,1 small,100,211.0,22,13,0.0,0.0,0.0,Fish Seafood,2
Lobster,aver.,100,92.0,18,1,0.0,0.0,0.0,Fish Seafood,2
Oysters,6-8 med.,230,231.0,232,233,234.0,235.0,236.0,Fish Seafood,1
Oyster stew,1 cup,85,125.0,19,6,1.0,0.0,0.0,Fish Seafood,2
Salmon,3 oz.,85,120.0,17,5,1.0,0.0,0.0,Fish Seafood,2
Sardines,3 oz.,85,180.0,22,9,4.0,0.0,0.0,Fish Seafood,2
Scallops,3 1/2 oz.,100,104.0,18,8,0.0,0.0,10.0,Fish Seafood,2
Shad,3 oz.,85,170.0,20,10,0.0,0.0,0.0,Fish Seafood,2
Shrimp,3 oz.,85,110.0,23,1,0.0,0.0,0.0,Fish Seafood,2
Swordfish,1 steak,100,180.0,27,6,0.0,0.0,0.0,Fish Seafood,2
Tuna,3 oz.,85,170.0,25,7,3.0,0.0,0.0,Fish Seafood,2
Artichoke,1 large,100,26.0,2,0,0.0,2.0,10.0,Vegetables A-E,0
Asparagus,6 spears,96,18.0,1,0,0.0,0.5,3.0,Vegetables A-E,0
Beans,1 cup,125,25.0,1,0,0.0,0.8,6.0,Vegetables A-E,0
Lima,1 cup,160,140.0,8,0,0.0,3.0,24.0,Vegetables A-E,0
Lima dry cooked,1 cup,192,260.0,16,0,0.0,2.0,48.0,Vegetables A-E,2
Navy baked with pork,3/4 cup,200,250.0,11,6,6.0,2.0,37.0,Vegetables A-E,2
Red kidney,1 cup,260,230.0,15,1,0.0,2.5,42.0,Vegetables A-E,2
Bean sprouts,1 cup,50,17.0,1,0,0.0,0.3,3.0,Vegetables A-E,0
Beet greens,1 cup,100,27.0,2,0,0.0,1.4,6.0,Vegetables A-E,0
Broccoli,1 cup,150,45.0,5,0,0.0,1.9,8.0,Vegetables A-E,0
Brussels sprouts,1 cup,130,60.0,6,0,0.0,1.7,12.0,Vegetables A-E,0
Sauerkraut,1 cup,150,32.0,1,0,0.0,1.2,7.0,Vegetables A-E,0
Steamed cabbage,1 cup,170,40.0,2,0,0.0,1.3,9.0,Vegetables A-E,0
Carrots,1 cup,150,45.0,1,0,0.0,0.9,10.0,Vegetables A-E,0
Raw grated,1 cup,110,45.0,1,0,0.0,1.2,10.0,Vegetables A-E,0
Strips from raw,1 mad.,50,20.0,0,0,0.0,0.5,5.0,Vegetables A-E,0
Cauliflower,1 cup,120,30.0,3,0,0.0,1.0,6.0,Vegetables A-E,0
Celery,1 cup,100,20.0,1,0,0.0,1.0,4.0,Vegetables A-E,0
Stalk raw,1 large,40,5.0,1,0,0.0,0.3,1.0,Vegetables A-E,0
Chard steamed,1 cup,150,30.0,2,0,0.0,1.4,7.0,Vegetables A-E,0
Collards,1 cup,150,51.0,5,0,0.0,2.0,8.0,Vegetables A-E,0
Corn,1 ear,100,92.0,3,1,0.0,0.8,21.0,Vegetables A-E,0
cooked or canned,1 cup,200,170.0,5,0,0.0,1.6,41.0,Vegetables A-E,0
Cucumbers,8,50,6.0,0,0,0.0,0.2,1.0,Vegetables A-E,0
Dandelion greens,1 cup,180,80.0,5,1,0.0,3.2,16.0,Vegetables A-E,0
Eggplant,1 cup,180,30.0,2,0,0.0,1.0,9.0,Vegetables A-E,0
Endive,2 oz.,57,10.0,1,0,0.0,0.6,2.0,Vegetables A-E,0
Kale,1 cup,110,45.0,4,1,0.0,0.9,8.0,Vegetables F-P,0
Kohlrabi,1 cup,140,40.0,2,0,0.0,1.5,9.0,Vegetables F-P,0
Lambs quarters steamed,1 cup,150,48.0,5,0,0.0,3.2,7.0,Vegetables F-P,0
Lentils,1 cup,200,212.0,15,0,0.0,2.4,38.0,Vegetables F-P,2
Lettuce,1/4 head,100,14.0,1,0,0.0,0.5,2.0,Vegetables F-P,0
Iceberg,1/4 head,100,13.0,0,0,0.0,0.5,3.0,Vegetables F-P,0
Mushrooms canned,4,120,12.0,2,0,0.0,0.0,4.0,Vegetables F-P,0
Mustard greens,1,140,30.0,3,0,0.0,1.2,6.0,Vegetables F-P,0
Okra,1 1/3 cups,100,32.0,1,0,0.0,1.0,7.0,Vegetables F-P,0
Onions,1,210,80.0,2,0,0.0,1.6,18.0,Vegetables F-P,0
Raw green,6 small,50,22.0,0,0,0.0,1.0,5.0,Vegetables F-P,0
Parsley,2 T.,50,2.0,0,0,0.0,0.0,0.0,Vegetables F-P,0
Parsnips,1 cup,155,95.0,2,1,0.0,3.0,22.0,Vegetables F-P,0
Peas,1 cup,100,66.0,3,0,0.0,0.1,13.0,Vegetables F-P,0
Fresh steamed peas,1 cup,100,70.0,5,0,0.0,2.2,12.0,Vegetables R-Z,0
Split cooked peas,4 cups,100,115.0,8,0,0.0,0.4,21.0,Vegetables R-Z,0
heated peas,1 cup,100,53.0,3,0,0.0,1.0,10.0,Vegetables R-Z,0
Peppers canned,1 pod,38,10.0,0,0,0.0,0.0,2.0,Vegetables R-Z,0
Peppers Raw green sweet,1 large,100,25.0,1,0,0.0,1.4,6.0,Vegetables R-Z,0
Peppers with beef and crumbs,1 med.,150,255.0,19,9,8.0,1.0,24.0,Vegetables R-Z,2
Potatoes baked,1 med.,100,100.0,2,0,0.0,0.5,22.0,Vegetables R-Z,0
French-fried,10 pieces,60,155.0,3,7,3.0,0.4,20.0,Vegetables R-Z,0
Potatoes Mashed with milk and butter,1 cup,200,230.0,4,12,11.0,0.7,28.0,Vegetables R-Z,2
Potatoes pan-tried,3/4 cup,100,268.0,4,14,6.0,0.4,33.0,Vegetables R-Z,2
Scalloped with cheese potatoes,3/4 cup,100,145.0,6,8,7.0,0.4,14.0,Vegetables R-Z,0
Steamed potatoes before peeling,1 med.,100,80.0,2,0,0.0,0.4,19.0,Vegetables R-Z,0
Potato chips,10,20,110.0,1,7,4.0,0.0,10.0,Vegetables R-Z,0
Radishes,5 small,50,10.0,0,0,0.0,0.3,2.0,Vegetables R-Z,0
Rutabagas,4 cups,100,32.0,0,0,0.0,1.4,8.0,Vegetables R-Z,0
Soybeans,1 cup,200,260.0,22,11,0.0,3.2,20.0,Vegetables R-Z,2
Spinach,1 cup,100,26.0,3,0,0.0,1.0,3.0,Vegetables R-Z,0
Squash,1 cup,210,35.0,1,0,0.0,0.6,8.0,Vegetables R-Z,0
Winter mashed,1 cup,200,95.0,4,0,0.0,2.6,23.0,Vegetables R-Z,0
Sweet potatoes,1 med.,110,155.0,2,1,0.0,1.0,36.0,Vegetables R-Z,0
Candied,1 med.,175,235.0,2,6,5.0,1.5,80.0,Vegetables R-Z,2
Tomatoes,1 cup,240,50.0,2,0,0.0,1.0,9.0,Vegetables R-Z,0
Raw 2 by 2 1/2,1 med.,150,30.0,1,0,0.0,0.6,6.0,Vegetables R-Z,0
Tomato juice,1 cup,240,50.0,2,0,0.0,0.6,10.0,Vegetables R-Z,0
Tomato catsup,1 T.,17,15.0,0,0,0.0,0.0,4.0,Vegetables R-Z,0
Turnip greens,1 cup,145,45.0,4,1,0.0,1.8,8.0,Vegetables R-Z,0
Turnips steamed,1 cup,155,40.0,1,0,0.0,1.8,9.0,Vegetables R-Z,0
Watercress stems raw,1 cup,50,9.0,1,0,0.0,0.3,1.0,Fruits A-F,0
Apple juice canned,1 cup,250,125.0,0,0,0.0,0.0,34.0,Fruits A-F,0
Apple vinegar,1/3 cup,100,14.0,0,0,0.0,0.0,3.0,Fruits A-F,0
Apples raw,1 med,130,70.0,0,0,0.0,1.0,18.0,Fruits A-F,0
Stewed or canned,1 cup,240,100.0,0,0,0.0,2.0,26.0,Fruits A-F,0
Apricots,1 cup,250,220.0,2,0,0.0,1.0,57.0,Fruits A-F,0
Dried uncooked,1/2 cup,75,220.0,4,0,0.0,1.0,50.0,Fruits A-F,0
Fresh,3 med.,114,55.0,1,0,0.0,0.7,14.0,Fruits A-F,0
Nectar or juice,1 cup,250,140.0,1,0,0.0,2.0,36.0,Fruits A-F,0
Avocado,1/2 large,108,185.0,2,18,12.0,1.8,6.0,Fruits A-F,0
Banana,1 med.,150,85.0,1,0,0.0,0.9,23.0,Fruits A-F,0
Blackberries,1 cup,144,85.0,2,1,0.0,6.6,19.0,Fruits A-F,0
Blueberries,1 cup,250,245.0,1,0,0.0,2.0,65.0,Fruits A-F,0
Cantaloupe,1/2 med.,380,40.0,1,0,0.0,2.2,9.0,Fruits A-F,0
Cherries,1 cup,257,100.0,2,1,0.0,2.0,26.0,Fruits A-F,0
Fresh raw,1 cup,114,65.0,1,0,0.0,0.8,15.0,Fruits A-F,0
Cranberry sauce sweetened,1 cup,277,530.0,0,0,0.0,1.2,142.0,Fruits A-F,2
Dates,1 cup,178,505.0,4,0,0.0,3.6,134.0,Fruits A-F,2
Figs,2,42,120.0,2,0,0.0,1.9,30.0,Fruits A-F,0
Fresh raw figs,3 med.,114,90.0,2,0,0.0,1.0,22.0,Fruits A-F,0
figs Canned with syrup ,3,115,130.0,1,0,0.0,1.0,32.0,Fruits A-F,0
Fruit cocktail canned,1 cup,256,195.0,1,0,0.0,0.5,50.0,Fruits A-F,0
Grapefruit sections,1 cup,250,170.0,1,0,0.0,0.5,44.0,Fruits G-P,0
"Grapefruit fresh 5"" diameter",1/2,285,50.0,1,0,0.0,1.0,14.0,Fruits G-P,0
Grapefruit juice,1 cup,250,100.0,1,0,0.0,1.0,24.0,Fruits G-P,0
Grapes,1 cup,153,70.0,1,0,0.0,0.8,16.0,Fruits G-P,0
European as Muscat Tokay,1 cup,160,100.0,1,0,0.0,0.7,26.0,Fruits G-P,0
Grape juice,1 cup,250,160.0,1,0,0.0,0.0,42.0,Fruits G-P,0
Lemon juice,1/2 cup,125,30.0,0,0,0.0,0.0,10.0,Fruits G-P,0
Lemonade concentratefrozen,6-oz. can,220,430.0,0,0,0.0,0.0,112.0,Fruits G-P,2
Limeade concentrate frozen,6-oz. can,218,405.0,0,0,0.0,0.0,108.0,Fruits G-P,2
Olives large,10,65,72.0,1,10,9.0,0.8,3.0,Fruits G-P,0
OlivesRipe,10,65,105.0,1,13,12.0,1.0,1.0,Fruits G-P,0
"Oranges 3"" diameter",1 med.,180,60.0,2,0,0.0,1.0,16.0,Fruits G-P,0
Orange juice,8 oz. or,250,112.0,2,0,0.0,0.2,25.0,Fruits G-P,0
Frozen ,6-oz. can,210,330.0,2,0,0.0,0.4,78.0,Fruits G-P,2
Papaya,1/2 med.,200,75.0,1,0,0.0,1.8,18.0,Fruits G-P,0
Peaches,1 cup,257,200.0,1,0,0.0,1.0,52.0,Fruits G-P,0
Fresh raw,1 med.,114,35.0,1,0,0.0,0.6,10.0,Fruits G-P,0
Pears,1 cup,255,195.0,1,0,0.0,2.0,50.0,Fruits G-P,0
Raw 3 by 2V,1 med.,182,100.0,1,1,0.0,2.0,25.0,Fruits G-P,0
Persimmons,1 med.,125,75.0,1,0,0.0,2.0,20.0,Fruits G-P,0
Pineapple,1 large slice,122,95.0,0,0,0.0,0.4,26.0,Fruits G-P,0
Pineapple Crushed,1 cup,260,205.0,1,0,0.0,0.7,55.0,Fruits G-P,0
Raw diced,1 cup,140,75.0,1,0,0.0,0.6,19.0,Fruits G-P,0
Pineapple juice,1 cup,250,120.0,1,0,0.0,0.2,32.0,Fruits G-P,0
Plums,1 cup,256,185.0,1,0,0.0,0.7,50.0,Fruits G-P,0
"Raw 2"" diameter",1,60,30.0,0,0,0.0,0.2,7.0,Fruits G-P,0
Prunes,1 cup,270,300.0,3,1,0.0,0.8,81.0,Fruits G-P,2
Prune juice,1 cup,240,170.0,1,0,0.0,0.7,45.0,Fruits G-P,0
Raisins,1/2 cup,88,230.0,2,0,0.0,0.7,82.0,Fruits R-Z,0
Raspberries,1/2 cup,100,100.0,0,0,0.0,2.0,25.0,Fruits R-Z,0
Raw red,3/4 cup,100,57.0,0,0,0.0,5.0,14.0,Fruits R-Z,0
Rhubarb sweetened,1 cup,270,385.0,1,0,0.0,1.9,98.0,Fruits R-Z,2
Strawberries,1 cup,227,242.0,1,0,0.0,1.3,60.0,Fruits R-Z,0
Raw,1 cup,149,54.0,0,0,0.0,1.9,12.0,Fruits R-Z,0
Tangerines,I med.,114,40.0,1,0,0.0,1.0,10.0,Fruits R-Z,0
Watermelon,1 wedge,925,120.0,2,1,0.0,3.6,29.0,Fruits R-Z,0
Biscuits,1,38,130.0,3,4,3.0,0.0,18.0,Breads cereals fastfoodgrains,0
Bran flakes,1 cup,25,117.0,3,0,0.0,0.1,32.0,Breads cereals fastfoodgrains,0
Bread cracked wheat,1 slice,23,60.0,2,1,1.0,0.1,12.0,Breads cereals fastfoodgrains,0
Rye,1 slice,23,55.0,2,1,1.0,0.1,12.0,Breads cereals fastfoodgrains,0
White 20 slices or,1-lb. loaf,454,1225.0,39,15,12.0,9.0,229.0,Breads cereals fastfoodgrains,1
Whole-wheat,1-lb. loaf,454,1100.0,48,14,10.0,67.5,216.0,Breads cereals fastfoodgrains,1
Whole-wheat,1 slice,23,55.0,2,1,0.0,0.31,11.0,Breads cereals fastfoodgrains,0
Corn bread ground meal,1 serving,50,100.0,3,4,2.0,0.3,15.0,Breads cereals fastfoodgrains,0
Cornflakes,1 cup,25,110.0,2,0,0.0,0.1,25.0,Breads cereals fastfoodgrains,0
Corn grits cooked,1 cup,242,120.0,8,0,0.0,0.2,27.0,Breads cereals fastfoodgrains,0
Corn meal,1 cup,118,360.0,9,4,2.0,1.6,74.0,Breads cereals fastfoodgrains,2
Crackers,2 med.,14,55.0,1,1,0.0,0.0,10.0,Breads cereals fastfoodgrains,0
Soda 2 1/2 square,2,11,45.0,1,1,0.0,0.0,8.0,Breads cereals fastfoodgrains,0
Farina,1 cup,238,105.0,3,0,0.0,8.0,22.0,Breads cereals fastfoodgrains,0
Flour,1 cup,110,460.0,39,22,0.0,2.9,33.0,Breads cereals fastfoodgrains,1
Wheat (all purpose),1 cup,110,400.0,12,1,0.0,0.3,84.0,Breads cereals fastfoodgrains,2
Wheat (whole),1 cup,120,390.0,13,2,0.0,2.8,79.0,Breads cereals fastfoodgrains,2
Macaroni,1 cup,140,155.0,5,1,0.0,0.1,32.0,Breads cereals fastfoodgrains,0
Baked with cheese,1 cup,220,475.0,18,25,24.0,0.0,44.0,Breads cereals fastfoodgrains,1
Muffins,1,48,135.0,4,5,4.0,0.0,19.0,Breads cereals fastfoodgrains,0
Noodles,1 cup,160,200.0,7,2,2.0,0.1,37.0,Breads cereals fastfoodgrains,2
Oatmeal,1 cup,236,150.0,5,3,2.0,4.6,26.0,Breads cereals fastfoodgrains,0
"Pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Breads cereals fastfoodgrains,2
"Wheat pancakes 4"" diam.",4,108,250.0,7,9,0.0,0.1,28.0,Breads cereals fastfoodgrains,2
"Pizza 14"" diam.",1 section,75,180.0,8,6,5.0,0.0,23.0,Breads cereals fastfoodgrains,2
Popcorn salted,2 cups,28,152.0,3,7,2.0,0.5,20.0,Breads cereals fastfoodgrains,0
Puffed rice,1 cup,14,55.0,0,0,0.0,0.0,12.0,Breads cereals fastfoodgrains,0
Puffed wheat presweetened,1 cup,28,105.0,1,0,0.0,0.6,26.0,Breads cereals fastfoodgrains,0
Rice,1 cup,208,748.0,15,3,0.0,1.2,154.0,Breads cereals fastfoodgrains,2
Converted,1 cup,187,677.0,14,0,0.0,0.4,142.0,Breads cereals fastfoodgrains,2
White,1 cup,191,692.0,14,0,0.0,0.3,150.0,Breads cereals fastfoodgrains,2
Rice flakes,1 cup,30,115.0,2,0,0.0,0.1,26.0,Breads cereals fastfoodgrains,0
Rice polish,1/2 cup,50,132.0,6,6,0.0,1.2,28.0,Breads cereals fastfoodgrains,0
Rolls,1 large,50,411.0,3,12,11.0,0.1,23.0,Breads cereals fastfoodgrains,2
of refined flour,1,38,115.0,3,2,2.0,0.0,20.0,Breads cereals fastfoodgrains,0
whole-wheat,1,40,102.0,4,1,0.0,0.1,20.0,Breads cereals fastfoodgrains,0
Spaghetti with meat sauce,1 cup,250,285.0,13,10,6.0,0.5,35.0,Breads cereals fastfoodgrains,2
with tomatoes and cheese,1 cup,250,210.0,6,5,3.0,0.5,36.0,Breads cereals fastfoodgrains,2
Spanish rice,1 cup,250,217.0,4,4,0.0,1.2,40.0,Breads cereals fastfoodgrains,0
Shredded wheat biscuit,1,28,100.0,3,1,0.0,0.7,23.0,Breads cereals fastfoodgrains,0
Waffles,1,75,240.0,8,9,1.0,0.1,30.0,Breads cereals fastfoodgrains,2
Wheat germ,1 cup,68,245.0,17,7,3.0,2.5,34.0,Breads cereals fastfoodgrains,2
Wheat-germ cereal toasted,1 cup,65,260.0,20,7,3.0,2.5,36.0,Breads cereals fastfoodgrains,2
Wheat meal cereal unrefined,3/4 cup,30,103.0,4,1,0.0,0.7,25.0,Breads cereals fastfoodgrains,0
Wheat cooked,3/4 cup,200,275.0,12,1,0.0,4.4,35.0,Breads cereals fastfoodgrains,2
Bean soups,1 cup,250,190.0,8,5,4.0,0.6,30.0,Soups,2
Beef soup,1 cup,250,100.0,6,4,4.0,0.5,11.0,Soups,0
Bouillon,1 cup,240,24.0,5,0,0.0,0.0,0.0,Soups,0
chicken soup,1 cup,250,75.0,4,2,2.0,0.0,10.0,Soups,0
Clam chowder,1 cup,255,85.0,5,2,8.0,0.5,12.0,Soups,0
Cream soups,1 cup,255,200.0,7,12,11.0,1.2,18.0,Soups,2
Noodle,1 cup,250,115.0,6,4,3.0,0.2,13.0,Soups,0
Split-pea soup,1 cup,250,147.0,8,3,3.0,0.5,25.0,Soups,0
Tomato soup,1 cup,245,175.0,6,7,6.0,0.5,22.0,Soups,0
Vegetable,1 cup,250,80.0,4,2,2.0,0.0,14.0,Soups,0
Apple betty,1 serving,100,150.0,1,4,0.0,0.5,29.0,Desserts sweets,0
Bread pudding,3/4 cup,200,374.0,11,12,11.0,0.2,56.0,Desserts sweets,2
Cakes,1 slice,40,110.0,3,0,0.0,0.0,23.0,Desserts sweets,0
Chocolate fudge,1 slice,120,420.0,5,14,12.0,0.3,70.0,Desserts sweets,2
Cupcake,1,50,160.0,3,3,2.0,0.0,31.0,Desserts sweets,0
Fruit cake,1 slice,30,105.0,2,4,3.0,0.2,17.0,Desserts sweets,0
Gingerbread,1 slice,55,180.0,2,7,6.0,0.0,28.0,Desserts sweets,0
Plain with no icing,1 slice,55,180.0,4,5,4.0,0.0,31.0,Desserts sweets,0
Sponge cake,1 slice,40,115.0,3,2,2.0,0.0,22.0,Desserts sweets,0
Candy,5,25,104.0,0,3,3.0,0.0,19.0,Desserts sweets,0
Chocolate creams,2,30,130.0,0,4,4.0,0.0,24.0,Desserts sweets,0
Fudge,2 pieces,90,370.0,0,12,11.0,0.1,80.0,Desserts sweets,2
Hard candies,1 oz.,28,90.0,0,0,0.0,0.0,28.0,Desserts sweets,0
Marshmallows,5,30,98.0,1,0,0.0,0.0,23.0,Desserts sweets,0
Milk chocolate,2-oz. bar,56,290.0,2,6,6.0,0.2,44.0,Desserts sweets,2
Chocolate syrup,2 T.,40,80.0,0,0,0.0,0.0,22.0,Desserts sweets,0
Doughnuts,1,33,135.0,2,7,4.0,0.0,17.0,Desserts sweets,0
Gelatin made with water,1 cup,239,155.0,4,0,0.0,0.0,36.0,Desserts sweets,0
Honey,2 T.,42,120.0,0,0,0.0,0.0,30.0,Jams Jellies,0
Ice cream,2 cups,300,250.0,0,0,12.0,10.0,0.0,Desserts sweets,0
Ices,1 cup,150,117.0,0,0,0.0,0.0,48.0,Desserts sweets,0
preserves,1 T.,20,55.0,0,0,0.0,0.0,14.0,Jams Jellies,0
Jellies,1 T.,20,50.0,0,0,0.0,0.0,13.0,Jams Jellies,0
Molasses,1 T.,20,45.0,0,0,0.0,8.0,11.0,Jams Jellies,0
Cane Syrup,1 T.,20,50.0,0,0,0.0,0.0,13.0,Jams Jellies,0
"9"" diam. pie",1 slice,135,330.0,3,13,11.0,0.1,53.0,Desserts sweets,2
Cherry Pie,1 slice,135,340.0,3,13,11.0,0.1,55.0,Desserts sweets,2
Custard,1 slice,130,265.0,7,11,10.0,0.0,34.0,Desserts sweets,2
Lemon meringue,1 slice,120,300.0,4,12,10.0,0.1,45.0,Desserts sweets,2
Mince,1 slice,135,340.0,3,9,8.0,0.7,62.0,Desserts sweets,2
Pumpkin Pie,1 slice,130,265.0,5,12,11.0,8.0,34.0,Desserts sweets,2
Puddings Sugar,1 cup,200,770.0,0,0,0.0,0.0,199.0,Desserts sweets,2
3 teaspoons sugar,1 T.,12,50.0,0,0,0.0,0.0,12.0,Desserts sweets,0
Brown firm-packed dark sugar,1 cup,220,815.0,0,0,0.0,0.0,210.0,Jams Jellies,2
